Wall time,Step,Value
1662804960.995272,0,0.90625
1662804961.851933,1,1.140625
1662804962.66252,2,0.765625
1662804963.441922,3,1.03125
1662804964.244828,4,0.671875
1662804965.049148,5,0.4375
1662804965.81804,6,0.5625
1662804966.604004,7,0.359375
1662804967.341007,8,0.609375
1662804968.114185,9,1.140625
1662804968.902067,10,0.78125
1662804969.699717,11,0.515625
1662804970.480673,12,0.5625
1662804971.247468,13,0.875
1662804971.997572,14,0.4375
1662804972.779784,15,0.265625
1662804973.579686,16,0.90625
1662804974.349885,17,0.65625
1662804975.111738,18,0.265625
1662804975.890798,19,0.609375
1662804976.690866,20,0.3125
1662804977.464138,21,0.359375
1662804978.255041,22,0.265625
1662804979.057746,23,0.875
1662804979.840276,24,0.484375
1662804980.628728,25,0.828125
1662804981.405427,26,0.390625
1662804982.176553,27,0.65625
1662804982.981489,28,0.375
1662804983.77716,29,0.671875
1662804984.567693,30,0.765625
1662804985.363188,31,1.28125
1662804986.150981,32,0.34375
1662804986.952455,33,0.5625
1662804987.729876,34,0.71875
1662804988.52236,35,0.203125
1662804989.341052,36,0.828125
1662804990.123193,37,0.453125
1662804990.912434,38,1.765625
1662804991.690882,39,1.25
1662804992.460209,40,0.6875
1662804993.239323,41,0.765625
1662804994.034564,42,0.5625
1662804994.826036,43,0.734375
1662804995.598982,44,0.4375
1662804996.38079,45,0.1875
1662804997.154392,46,0.734375
1662804997.945675,47,0.34375
1662804998.738102,48,0.203125
1662804999.527452,49,0.5625
1662805000.328835,50,0.4375
1662805001.085655,51,0.6875
1662805001.867499,52,0.625
1662805002.65441,53,0.578125
1662805003.409909,54,0.265625
1662805004.199599,55,0.53125
1662805004.976631,56,0.15625
1662805005.767703,57,0.171875
1662805006.566365,58,0.453125
1662805007.369636,59,0.484375
1662805008.157915,60,0.265625
1662805008.949052,61,0.65625
1662805009.735913,62,0.28125
1662805010.526042,63,0.546875
1662805011.305281,64,0.0625
1662805012.074766,65,0.625
1662805012.888311,66,0.40625
1662805013.654719,67,0.484375
1662805014.444036,68,0.1875
1662805015.226068,69,0.234375
1662805016.017697,70,0.515625
1662805016.800163,71,0.4375
1662805017.603377,72,0.28125
1662805018.387499,73,0.140625
1662805019.16132,74,0.765625
1662805019.951992,75,0.671875
1662805020.727014,76,0.375
1662805021.528202,77,0.046875
1662805022.324368,78,0.421875
1662805023.129484,79,0.234375
1662805023.887695,80,0.234375
1662805024.674088,81,0.328125
1662805025.457146,82,0.3125
1662805026.254358,83,0.40625
1662805027.054208,84,0.390625
1662805027.831968,85,0.234375
1662805028.612762,86,0.5625
1662805029.389244,87,0.375
1662805030.171939,88,0.171875
1662805030.910658,89,0.09375
1662805031.701084,90,0.40625
1662805032.4785,91,0.953125
1662805033.250139,92,0.296875
1662805034.019579,93,0.25
1662805034.770908,94,0.40625
1662805035.556986,95,0.265625
1662805036.362801,96,0.34375
1662805037.152269,97,0.25
1662805037.940632,98,0.359375
1662805038.742065,99,0.203125
1662805039.561292,100,0.34375
1662805040.347623,101,1.03125
1662805041.135897,102,0.515625
1662805041.89907,103,0.296875
1662805042.691239,104,0.3125
1662805043.477955,105,0.375
1662805044.282099,106,0.6875
1662805045.07725,107,0.578125
1662805045.878818,108,0.390625
1662805046.654991,109,0.515625
1662805047.44187,110,0.296875
1662805048.241455,111,0.640625
1662805049.03431,112,0.140625
1662805049.827332,113,0.15625
1662805050.613754,114,0.21875
1662805051.403793,115,0.46875
1662805052.175286,116,0.1875
1662805052.953199,117,0.3125
1662805053.740171,118,0.3125
1662805054.520694,119,0.484375
1662805055.310258,120,0.25
1662805056.073626,121,0.359375
1662805056.853063,122,0.609375
1662805057.645518,123,0.65625
1662805058.425546,124,0.125
1662805059.209077,125,0.484375
1662805059.979503,126,0.5625
1662805060.770595,127,0.75
1662805061.56519,128,0.296875
1662805062.381018,129,0.15625
1662805063.178898,130,0.625
1662805063.992128,131,0.21875
1662805064.770503,132,0.40625
1662805065.542454,133,0.234375
1662805066.324863,134,0.234375
1662805067.131807,135,0.5
1662805067.908468,136,0.28125
1662805068.697332,137,0.90625
1662805069.479422,138,0.484375
1662805070.251052,139,0.234375
1662805071.046673,140,0.515625
1662805071.841847,141,0.21875
1662805072.63747,142,0.671875
1662805073.452034,143,0.46875
1662805074.25205,144,0.203125
1662805075.036078,145,0.78125
1662805075.818093,146,1.140625
1662805076.596793,147,0.359375
1662805077.377854,148,0.578125
1662805078.153993,149,0.09375
1662805078.94043,150,0.390625
1662805079.707481,151,0.703125
1662805080.504716,152,0.625
1662805081.249815,153,1.34375
1662805082.012645,154,0.578125
1662805082.787327,155,0.4375
1662805083.576457,156,1.125
1662805084.382098,157,0.296875
1662805085.154637,158,0.140625
1662805085.958279,159,1.09375
1662805086.748222,160,0.421875
1662805087.547618,161,0.9375
1662805088.341052,162,0.421875
1662805089.150474,163,0.15625
1662805089.96418,164,0.34375
1662805090.755017,165,1.1875
1662805091.550973,166,0.125
1662805092.337318,167,0.25
1662805093.117204,168,0.671875
1662805093.887745,169,1.109375
1662805094.688964,170,0.484375
1662805095.464316,171,0.328125
1662805096.222178,172,0.265625
1662805097.012612,173,0.25
1662805097.800786,174,0.515625
1662805098.606036,175,0.28125
1662805099.400418,176,0.78125
1662805100.215834,177,0.625
1662805101.023387,178,0.140625
1662805101.79954,179,0.109375
1662805102.581298,180,0.6875
1662805103.354822,181,0.15625
1662805104.128687,182,2.28125
1662805104.907622,183,0.25
1662805105.686335,184,0.328125
1662805106.491592,185,0.46875
1662805107.283243,186,0.703125
1662805108.081582,187,0.21875
1662805108.878127,188,0.296875
1662805109.671686,189,0.28125
1662805110.415069,190,0.28125
1662805111.200093,191,0.171875
1662805111.993121,192,0.171875
1662805112.784508,193,0.703125
1662805113.581023,194,0.984375
1662805114.383459,195,0.3125
1662805115.176436,196,0.28125
1662805115.992049,197,1.21875
1662805116.795853,198,0.453125
1662805117.595237,199,0.3125
1662805118.387609,200,0.46875
1662805119.195961,201,0.515625
1662805120.003077,202,0.28125
1662805120.787724,203,0.203125
1662805121.56929,204,0.65625
1662805122.354002,205,0.234375
1662805123.142165,206,0.28125
1662805123.936929,207,0.421875
1662805124.728288,208,0.515625
1662805125.526792,209,0.140625
1662805126.315939,210,0.171875
1662805127.108548,211,0.484375
1662805127.904944,212,0.375
1662805128.671502,213,0.453125
1662805129.446798,214,0.1875
1662805130.23487,215,0.203125
1662805131.02919,216,0.421875
1662805131.820604,217,0.25
1662805132.629646,218,0.25
1662805133.422609,219,0.46875
1662805134.212277,220,0.375
1662805135.015291,221,0.3125
1662805135.828947,222,0.234375
1662805136.615038,223,0.71875
1662805137.40207,224,0.109375
1662805138.198709,225,0.53125
1662805139.019207,226,1.109375
1662805139.834854,227,0.46875
1662805140.633948,228,0.328125
1662805141.424763,229,0.65625
1662805142.2204,230,2.578125
1662805143.009887,231,0.5625
1662805143.793607,232,0.84375
1662805144.574779,233,0.296875
1662805145.369672,234,0.28125
1662805146.179068,235,0.90625
1662805146.985892,236,0.625
1662805147.786016,237,0.1875
1662805148.553278,238,0.1875
1662805149.347451,239,0.265625
1662805150.142846,240,0.15625
1662805150.937322,241,0.25
1662805151.727789,242,0.53125
1662805152.527283,243,0.34375
1662805153.330585,244,1.234375
1662805154.105112,245,0.453125
1662805154.879733,246,0.375
1662805155.680473,247,0.171875
1662805156.449962,248,0.28125
1662805157.247057,249,0.296875
1662805158.025586,250,0.328125
1662805158.831596,251,0.390625
1662805159.625816,252,0.109375
1662805160.421696,253,0.484375
1662805161.209159,254,0.1875
1662805162.019867,255,0.71875
1662805162.801762,256,0.28125
1662805163.57741,257,0.484375
