Wall time,Step,Value
1662740108.485369,0,2.203125
1662740109.285971,1,0.6875
1662740110.059573,2,0.3125
1662740110.807988,3,0.265625
1662740111.563571,4,0.46875
1662740112.332652,5,0.125
1662740113.098044,6,0.3125
1662740113.883178,7,0.1875
1662740114.654806,8,0.40625
1662740115.401436,9,0.28125
1662740116.1298,10,0.21875
1662740116.895284,11,0.328125
1662740117.679799,12,0.25
1662740118.448402,13,0.4375
1662740119.213962,14,0.25
1662740119.975568,15,0.25
1662740120.759634,16,0.328125
1662740121.527193,17,0.34375
1662740122.346181,18,0.640625
1662740123.110137,19,0.25
1662740123.892389,20,0.25
1662740124.665532,21,0.296875
1662740125.429766,22,0.09375
1662740126.186981,23,0.09375
1662740126.969932,24,0.34375
1662740127.731621,25,0.1875
1662740128.508302,26,0.234375
1662740129.262598,27,0.296875
1662740130.025588,28,0.75
1662740130.784332,29,0.0625
1662740131.545623,30,0.1875
1662740132.297647,31,0.09375
1662740133.051394,32,0.140625
1662740133.796444,33,0.046875
1662740134.55087,34,0.53125
1662740135.308209,35,0.3125
1662740136.064692,36,0.203125
1662740136.825512,37,0.59375
1662740137.589461,38,0.109375
1662740138.346371,39,0.078125
1662740139.074936,40,0.140625
1662740139.829472,41,0.140625
1662740140.591199,42,0.234375
1662740141.361959,43,0.25
1662740142.148969,44,0.1875
1662740142.938064,45,0.125
1662740143.721182,46,0.40625
1662740144.500662,47,0.3125
1662740145.261238,48,0.21875
1662740146.028162,49,0.171875
1662740146.81829,50,3.265625
1662740147.615167,51,0.375
1662740148.409489,52,0.234375
1662740149.18104,53,0.390625
1662740149.959453,54,0.03125
1662740150.742051,55,0.21875
1662740151.494246,56,0.46875
1662740152.259855,57,0.171875
1662740153.031375,58,0.078125
1662740153.79981,59,0.109375
1662740154.56613,60,0.203125
1662740155.332537,61,0.15625
1662740156.100357,62,0.09375
1662740156.896336,63,0.28125
1662740157.675693,64,0.71875
1662740158.438379,65,0.484375
1662740159.225564,66,0.046875
