Wall time,Step,Value
1662824092.556592,0,0.8125
1662824093.296207,1,0.71875
1662824094.046548,2,0.453125
1662824094.801464,3,0.265625
1662824095.54694,4,0.203125
1662824096.265458,5,0.4375
1662824097.013873,6,0.4375
1662824097.812261,7,0.421875
1662824098.575197,8,0.59375
1662824099.342555,9,0.265625
1662824100.107252,10,0.359375
1662824100.869591,11,0.390625
1662824101.658525,12,0.34375
1662824102.420278,13,0.46875
1662824103.173963,14,1.09375
1662824103.932708,15,0.21875
1662824104.697485,16,0.546875
1662824105.467849,17,0.125
1662824106.243351,18,0.25
1662824106.981614,19,0.59375
1662824107.719071,20,0.09375
1662824108.483851,21,0.375
1662824109.234459,22,0.28125
1662824110.014227,23,0.390625
1662824110.798663,24,0.421875
1662824111.579651,25,0.171875
1662824112.328701,26,0.203125
1662824113.062314,27,0.59375
1662824113.840567,28,0.421875
1662824114.609125,29,0.28125
1662824115.350224,30,0.140625
1662824116.110486,31,0.625
1662824116.882868,32,0.234375
1662824117.652952,33,0.3125
1662824118.406171,34,0.1875
1662824119.179787,35,0.453125
1662824119.960945,36,0.515625
1662824120.738765,37,0.296875
1662824121.485199,38,0.171875
1662824122.268676,39,0.421875
1662824123.050607,40,0.546875
1662824123.839143,41,0.234375
1662824124.615833,42,0.328125
1662824125.385209,43,0.328125
1662824126.15445,44,0.421875
1662824126.918186,45,0.515625
1662824127.676162,46,0.140625
1662824128.455405,47,0.109375
1662824129.243931,48,0.703125
1662824130.018367,49,0.21875
1662824130.795537,50,0.09375
1662824131.56579,51,0.171875
1662824132.33164,52,0.09375
1662824133.088108,53,0.15625
1662824133.845355,54,0.171875
1662824134.586886,55,0.0
1662824135.353089,56,0.140625
1662824136.113704,57,0.03125
1662824136.893197,58,0.328125
1662824137.662158,59,0.34375
1662824138.407767,60,0.046875
1662824139.14704,61,0.03125
1662824139.871255,62,0.4375
1662824140.61784,63,0.109375
1662824141.349079,64,0.046875
1662824142.111545,65,0.046875
1662824142.886196,66,0.1875
1662824143.621703,67,0.0
1662824144.366391,68,0.015625
1662824145.128097,69,0.109375
1662824145.897482,70,0.15625
1662824146.625306,71,0.03125
