Wall time,Step,Value
1662826979.296312,0,0.640625
1662826980.070202,1,0.1875
1662826980.895649,2,0.15625
1662826981.658492,3,0.015625
1662826982.450397,4,0.203125
1662826983.199122,5,0.0625
1662826983.972798,6,0.21875
1662826984.776395,7,0.15625
1662826985.566936,8,0.09375
1662826986.358847,9,0.078125
1662826987.146138,10,0.078125
1662826987.951684,11,0.15625
1662826988.718396,12,0.328125
1662826989.499935,13,0.359375
1662826990.275507,14,0.578125
1662826991.069459,15,0.34375
1662826991.831174,16,0.3125
1662826992.596638,17,0.359375
1662826993.354432,18,0.28125
1662826994.137341,19,0.125
1662826994.92356,20,0.140625
1662826995.714481,21,0.15625
1662826996.487815,22,0.203125
1662826997.274744,23,0.140625
1662826998.053025,24,0.171875
1662826998.823222,25,0.3125
1662826999.605778,26,0.125
1662827000.375878,27,0.171875
1662827001.160772,28,0.34375
1662827001.938005,29,0.34375
1662827002.719978,30,0.03125
1662827003.529851,31,0.4375
1662827004.301058,32,0.125
1662827005.069732,33,0.15625
1662827005.833805,34,0.421875
1662827006.61075,35,0.15625
1662827007.393789,36,0.203125
1662827008.16584,37,0.4375
1662827008.941938,38,0.28125
1662827009.729971,39,0.265625
1662827010.515467,40,0.140625
1662827011.307673,41,0.109375
1662827012.067633,42,0.1875
1662827012.843139,43,0.1875
1662827013.620697,44,0.015625
1662827014.394468,45,0.21875
1662827015.168631,46,0.046875
1662827015.952908,47,0.0625
1662827016.715478,48,0.125
1662827017.501428,49,0.078125
1662827018.269624,50,0.359375
1662827019.034982,51,0.296875
1662827019.829529,52,0.03125
1662827020.6125,53,0.1875
1662827021.398986,54,0.15625
1662827022.203012,55,0.09375
1662827022.977988,56,0.0625
1662827023.747311,57,0.03125
1662827024.520867,58,0.15625
1662827025.283375,59,0.171875
1662827026.064109,60,0.15625
1662827026.847664,61,0.125
1662827027.630102,62,0.0625
1662827028.404325,63,0.09375
1662827029.184923,64,0.03125
1662827029.970464,65,0.140625
1662827030.747483,66,0.015625
1662827031.540639,67,0.140625
1662827032.326685,68,0.125
1662827033.09875,69,0.234375
1662827033.884669,70,0.0625
1662827034.645599,71,0.0625
1662827035.43012,72,0.140625
1662827036.224004,73,0.234375
1662827036.980465,74,0.09375
1662827037.757837,75,0.0625
1662827038.53043,76,0.265625
1662827039.294136,77,0.265625
1662827040.029011,78,0.234375
1662827040.82056,79,0.046875
1662827041.610423,80,0.28125
1662827042.44108,81,0.140625
1662827043.214682,82,0.421875
1662827044.015689,83,0.125
1662827044.798332,84,0.265625
1662827045.575714,85,0.203125
1662827046.350083,86,0.296875
1662827047.144742,87,0.265625
1662827047.95021,88,0.125
