Wall time,Step,Value
1662741772.32402,0,1.03125
1662741773.128263,1,1.21875
1662741773.93582,2,0.5
1662741774.71006,3,0.5
1662741775.493294,4,0.140625
1662741776.267546,5,0.078125
1662741777.05122,6,0.359375
1662741777.911862,7,0.15625
1662741778.796823,8,0.578125
1662741779.700365,9,0.484375
1662741780.565615,10,0.203125
1662741781.358108,11,0.390625
1662741782.153751,12,0.1875
1662741783.039976,13,0.421875
1662741784.023023,14,0.3125
1662741784.946459,15,0.671875
1662741785.914382,16,0.625
1662741786.818736,17,0.78125
1662741787.72465,18,0.328125
1662741788.671344,19,0.1875
1662741789.586018,20,0.65625
1662741790.599373,21,0.28125
1662741791.628197,22,0.09375
1662741792.600276,23,0.15625
1662741793.577897,24,0.203125
1662741794.626473,25,0.0625
1662741795.536391,26,0.21875
1662741796.334151,27,0.1875
1662741797.12272,28,0.359375
1662741797.889874,29,0.46875
1662741798.667498,30,0.296875
1662741799.433236,31,0.234375
1662741800.217143,32,0.1875
1662741800.995544,33,0.640625
1662741801.771666,34,0.203125
1662741802.534798,35,0.265625
1662741803.289079,36,0.078125
1662741804.062218,37,0.171875
1662741804.839585,38,0.359375
1662741805.613228,39,0.203125
1662741806.385777,40,0.109375
1662741807.14839,41,0.03125
1662741807.942341,42,0.03125
1662741808.707683,43,0.25
1662741809.440021,44,0.15625
1662741810.179685,45,0.140625
1662741810.950403,46,0.21875
1662741811.727538,47,0.171875
1662741812.52005,48,0.234375
1662741813.307185,49,0.265625
1662741814.092464,50,0.40625
1662741814.868384,51,0.171875
1662741815.638112,52,0.296875
1662741816.419903,53,0.328125
1662741817.201453,54,0.390625
1662741817.969488,55,0.046875
1662741818.763703,56,0.140625
1662741819.521515,57,0.171875
1662741820.288151,58,0.46875
1662741821.060396,59,0.09375
1662741821.830916,60,0.296875
1662741822.608218,61,0.109375
1662741823.402868,62,0.328125
1662741824.181872,63,0.3125
1662741824.952525,64,0.140625
1662741825.718022,65,0.46875
1662741826.493128,66,0.09375
1662741827.264079,67,0.125
1662741828.045963,68,0.171875
1662741828.828255,69,0.1875
1662741829.598848,70,0.0625
1662741830.373983,71,0.40625
1662741831.14748,72,0.15625
1662741831.916061,73,0.1875
1662741832.682517,74,0.5
1662741833.458408,75,0.125
1662741834.237873,76,0.21875
1662741835.020787,77,0.03125
1662741835.787994,78,0.125
1662741836.546578,79,0.21875
1662741837.322893,80,0.09375
1662741838.09038,81,0.0625
1662741838.868447,82,0.078125
1662741839.658502,83,0.171875
1662741840.40986,84,0.34375
1662741841.156637,85,0.328125
1662741841.969793,86,0.296875
1662741842.744076,87,0.3125
1662741843.519455,88,0.03125
1662741844.285106,89,0.171875
1662741845.053377,90,0.234375
1662741845.810807,91,0.265625
1662741846.575672,92,0.171875
1662741847.351468,93,0.3125
1662741848.109869,94,0.28125
1662741848.868086,95,0.15625
1662741849.612059,96,0.171875
1662741850.387667,97,0.203125
1662741851.164765,98,0.109375
1662741851.953659,99,0.484375
1662741852.72703,100,0.296875
1662741853.545493,101,0.34375
1662741854.32608,102,0.109375
1662741855.083736,103,0.265625
1662741855.848663,104,0.0625
1662741856.61028,105,0.125
1662741857.41022,106,0.203125
1662741858.175398,107,0.171875
1662741858.953836,108,0.015625
1662741859.711276,109,0.265625
1662741860.483385,110,0.296875
1662741861.249467,111,0.1875
1662741862.037132,112,0.296875
1662741862.798663,113,0.21875
1662741863.57655,114,0.4375
1662741864.321008,115,0.078125
1662741865.097205,116,0.1875
1662741865.882653,117,0.171875
1662741866.626383,118,0.015625
1662741867.394236,119,0.421875
1662741868.17011,120,0.15625
1662741868.923782,121,0.0625
1662741869.698209,122,0.484375
1662741870.473952,123,0.0625
1662741871.282288,124,0.15625
1662741872.03663,125,0.28125
1662741872.813999,126,0.109375
1662741873.566547,127,0.125
1662741874.337089,128,0.28125
1662741875.088519,129,0.25
1662741875.860376,130,0.078125
1662741876.649967,131,0.1875
1662741877.432968,132,0.390625
1662741878.208601,133,0.25
1662741878.988604,134,0.078125
1662741879.738219,135,0.0625
1662741880.512577,136,0.21875
1662741881.272116,137,0.546875
1662741882.039678,138,0.15625
1662741882.805471,139,0.1875
1662741883.588112,140,0.171875
1662741884.325893,141,0.171875
1662741885.115222,142,0.171875
1662741885.904695,143,0.296875
1662741886.672871,144,0.015625
1662741887.438017,145,0.0625
1662741888.208887,146,0.171875
1662741888.958402,147,0.21875
1662741889.69709,148,0.1875
1662741890.464881,149,0.546875
1662741891.228274,150,0.171875
1662741892.003834,151,0.578125
1662741892.789757,152,0.1875
1662741893.557169,153,0.828125
1662741894.323963,154,0.15625
1662741895.075589,155,0.046875
1662741895.836685,156,0.078125
1662741896.622689,157,0.734375
1662741897.419734,158,0.15625
1662741898.202691,159,0.296875
1662741898.994804,160,0.578125
1662741899.785044,161,0.328125
1662741900.563396,162,0.21875
1662741901.341826,163,0.234375
1662741902.11814,164,0.15625
1662741902.883678,165,0.15625
1662741903.646916,166,0.078125
1662741904.428126,167,0.28125
1662741905.209706,168,0.265625
1662741905.973438,169,0.546875
1662741906.721587,170,0.109375
1662741907.505429,171,0.1875
1662741908.272692,172,0.1875
1662741909.037344,173,0.53125
