Wall time,Step,Value
1663261929.0184312,1,2.75
1663261929.2065961,2,9.75
1663261929.3941164,3,8.25
1663261929.5816603,4,7.75
1663261929.7788777,5,1.5
1663261929.9512153,6,3.5
1663261930.1201453,7,2.0
1663261930.2925975,8,1.25
1663261930.469486,9,3.75
1663261930.637135,10,1.75
1663261930.8212774,11,1.75
1663261930.9872217,12,1.25
1663261931.1590245,13,3.5
1663261931.3367915,14,8.5
1663261931.5220773,15,1.75
1663261931.695915,16,2.75
1663261931.8739011,17,6.0
1663261932.046185,18,2.75
1663261932.2202907,19,5.0
1663261932.407759,20,5.25
1663261932.5859032,21,7.0
1663261932.7569716,22,5.25
1663261932.9285998,23,2.25
1663261933.0994675,24,3.0
1663261933.2836342,25,1.0
1663261933.4522882,26,1.0
1663261933.6170535,27,1.5
1663261933.8038738,28,1.0
1663261933.9872906,29,2.0
1663261934.153261,30,2.75
1663261934.332559,31,0.75
1663261934.5040247,32,1.25
1663261934.6847947,33,4.75
1663261934.8522363,34,2.75
1663261935.0284753,35,7.0
1663261935.1958494,36,2.25
1663261935.3725486,37,3.75
1663261935.5500178,38,4.75
1663261935.722677,39,5.5
1663261935.911703,40,4.0
1663261936.0810964,41,2.25
1663261936.248624,42,4.75
1663261936.4365551,43,3.5
1663261936.607048,44,3.5
1663261936.7843893,45,0.75
1663261936.9541328,46,3.75
1663261937.127167,47,2.0
1663261937.299035,48,2.0
1663261937.466855,49,2.75
1663261937.634917,50,1.75
1663261944.0707006,51,1.75
1663261944.2565002,52,3.0
1663261944.4467256,53,4.25
1663261944.6289177,54,1.5
1663261944.8237274,55,6.5
1663261945.0157816,56,3.0
1663261945.1927128,57,10.25
1663261945.3755202,58,3.5
1663261945.562051,59,6.75
1663261945.743696,60,0.5
1663261945.9187124,61,1.5
1663261946.0928786,62,4.0
1663261946.2613637,63,2.0
1663261946.4443898,64,3.5
1663261946.6195188,65,3.75
1663261946.7911744,66,3.0
1663261946.9792373,67,1.75
1663261947.1568913,68,6.5
1663261947.3353395,69,0.75
1663261947.5062897,70,2.75
1663261947.6810694,71,7.5
1663261947.8619158,72,2.5
1663261948.0360355,73,3.5
1663261948.2118468,74,3.25
1663261948.3790574,75,4.75
1663261948.5559587,76,2.25
1663261948.7276633,77,3.25
1663261948.9076185,78,1.25
1663261949.0945508,79,2.5
1663261949.2652755,80,3.0
1663261949.4483993,81,5.75
1663261949.613778,82,5.5
1663261949.7905498,83,2.75
1663261949.964706,84,1.75
1663261950.1405873,85,3.25
1663261950.320961,86,1.0
1663261950.4966018,87,2.75
1663261950.674959,88,2.0
1663261950.8473163,89,2.0
1663261951.0069041,90,3.75
1663261951.196183,91,3.5
1663261951.3790197,92,4.25
1663261951.5596275,93,1.5
1663261951.7339218,94,1.25
1663261951.900169,95,2.25
1663261952.075249,96,3.0
1663261952.2589066,97,4.75
1663261952.4499109,98,3.25
1663261952.635133,99,2.25
1663261952.8094091,100,1.25
1663261959.2659426,101,4.0
1663261959.4552562,102,6.25
1663261959.6301672,103,4.5
1663261959.8086078,104,2.0
1663261959.9762585,105,1.75
1663261960.1541722,106,6.5
1663261960.340345,107,1.75
1663261960.5124743,108,4.25
1663261960.687194,109,9.0
1663261960.8670871,110,4.0
1663261961.0430813,111,2.25
1663261961.2196124,112,5.25
1663261961.4000382,113,0.5
1663261961.5828645,114,3.0
1663261961.7592866,115,2.0
1663261961.9351776,116,4.25
1663261962.1150146,117,0.0
1663261962.28572,118,2.5
1663261962.4750526,119,5.5
1663261962.6649032,120,4.0
1663261962.8401635,121,5.5
1663261963.02161,122,5.75
1663261963.2148337,123,2.5
1663261963.381602,124,3.5
1663261963.565518,125,5.5
1663261963.7292345,126,1.25
1663261963.90927,127,3.25
1663261964.0852501,128,7.5
1663261964.2632241,129,2.25
1663261964.4389093,130,1.25
1663261964.617845,131,2.75
1663261964.790509,132,1.75
1663261964.9700427,133,1.75
1663261965.1337667,134,3.5
1663261965.3101234,135,5.75
1663261965.4870765,136,2.0
1663261965.6728358,137,2.75
1663261965.8468843,138,9.0
1663261966.018901,139,6.75
1663261966.1817462,140,1.0
1663261966.3544524,141,9.75
1663261966.5708117,142,4.25
1663261966.748296,143,3.5
1663261966.9170601,144,3.0
1663261967.0921073,145,5.25
1663261967.2570446,146,2.75
1663261967.4314606,147,3.5
1663261967.621012,148,4.5
1663261967.8072853,149,0.5
1663261967.9831982,150,5.25
1663261973.6324418,151,5.75
1663261973.8147924,152,3.0
1663261973.988623,153,4.75
1663261974.1563137,154,6.75
1663261974.3379953,155,0.5
1663261974.5147207,156,2.0
1663261974.690148,157,6.0
1663261974.8744338,158,1.75
1663261975.0561035,159,6.5
1663261975.2278397,160,2.25
1663261975.394859,161,4.75
1663261975.5803995,162,3.25
1663261975.7666054,163,2.5
1663261975.9664881,164,2.0
1663261976.1587088,165,3.75
1663261976.3342423,166,6.5
1663261976.5232725,167,4.5
1663261976.7006977,168,5.25
1663261976.8707087,169,3.0
1663261977.0481367,170,6.5
1663261977.2114825,171,0.5
1663261977.3879356,172,2.5
1663261977.5518687,173,3.0
1663261977.733541,174,8.5
1663261977.898556,175,4.75
1663261978.0576768,176,3.25
1663261978.221439,177,1.75
1663261978.3871596,178,7.5
1663261978.560812,179,4.0
1663261978.7450325,180,5.0
1663261978.9045212,181,4.25
1663261979.0698678,182,0.5
1663261979.258816,183,2.25
1663261979.4313407,184,5.0
1663261979.6124825,185,5.75
1663261979.7988133,186,2.5
