Wall time,Step,Value
1663265797.351328,1,15.75
1663265797.58535,2,13.5
1663265797.8400679,3,12.5
1663265798.063884,4,12.0
1663265798.3033311,5,19.75
1663265798.5285516,6,8.75
1663265798.7622125,7,13.25
1663265798.9977632,8,15.0
1663265799.2239492,9,12.25
1663265799.4520364,10,6.25
1663265799.668693,11,24.75
1663265799.9066517,12,11.25
1663265800.1426296,13,14.5
1663265800.354907,14,17.25
1663265800.5804965,15,22.0
1663265800.822756,16,11.25
1663265801.0500176,17,11.75
1663265801.2731578,18,30.25
1663265801.4998608,19,23.75
1663265801.7601814,20,21.0
1663265801.9836242,21,12.25
1663265802.203971,22,5.5
1663265802.4267044,23,14.75
1663265802.646823,24,19.5
1663265802.8795614,25,16.25
1663265803.0964303,26,11.5
1663265803.324411,27,12.5
1663265803.5513585,28,14.5
1663265803.7937994,29,17.5
1663265804.0271306,30,20.5
1663265804.2443974,31,17.25
1663265804.4741795,32,22.5
1663265804.7027001,33,13.25
1663265804.9694607,34,24.0
1663265805.2162576,35,30.5
1663265805.4289987,36,16.25
1663265805.660072,37,12.0
1663265805.9276311,38,22.5
1663265806.1626163,39,14.0
1663265806.399968,40,16.25
1663265806.6035347,41,11.75
1663265806.8470573,42,22.25
1663265807.0647342,43,14.5
1663265807.307013,44,19.5
1663265807.5424402,45,10.75
1663265807.763257,46,21.25
1663265807.9893603,47,16.0
1663265808.2183135,48,15.25
1663265808.4699564,49,20.5
1663265808.7257073,50,18.25
1663265818.6054242,51,15.75
1663265818.8623931,52,20.25
1663265819.115836,53,8.5
1663265819.35006,54,15.25
1663265819.5833538,55,8.25
1663265819.824685,56,13.0
1663265820.0996833,57,21.25
1663265820.3205464,58,12.75
1663265820.5786254,59,29.25
1663265820.8315516,60,21.25
1663265821.0633776,61,17.75
1663265821.2962687,62,11.25
1663265821.5326107,63,16.75
1663265821.7687159,64,18.25
1663265821.9977894,65,17.5
1663265822.2328186,66,13.0
1663265822.4695897,67,17.0
1663265822.690724,68,10.25
1663265822.9079883,69,20.5
1663265823.1362684,70,15.75
1663265823.3718028,71,17.0
1663265823.6120589,72,24.75
1663265823.844668,73,17.0
1663265824.0602293,74,7.0
1663265824.2929354,75,16.0
1663265824.523385,76,14.0
1663265824.7562501,77,15.25
1663265825.016442,78,26.5
1663265825.2704146,79,22.5
1663265825.506087,80,9.0
1663265825.7586994,81,28.75
1663265826.005537,82,18.25
1663265826.240042,83,14.25
1663265826.4777262,84,19.25
1663265826.6975646,85,8.5
1663265826.927552,86,17.0
1663265827.1572766,87,15.75
1663265827.3924444,88,22.0
1663265827.617577,89,15.0
1663265827.8543181,90,14.0
1663265828.091659,91,17.0
1663265828.3318517,92,13.75
1663265828.5807912,93,11.75
1663265828.8259537,94,24.5
1663265829.0628617,95,19.5
1663265829.3193243,96,9.75
1663265829.5527768,97,16.25
1663265829.7932138,98,10.25
1663265830.0195906,99,22.5
1663265830.2526538,100,12.75
1663265837.4072716,101,22.5
1663265837.6379776,102,20.25
1663265837.8775542,103,13.25
1663265838.1113296,104,11.0
1663265838.3345695,105,15.5
1663265838.564661,106,12.25
1663265838.8139248,107,21.25
1663265839.0400243,108,14.25
1663265839.254134,109,15.25
1663265839.4994297,110,15.0
1663265839.740004,111,11.75
1663265839.977539,112,16.0
1663265840.2224104,113,17.0
1663265840.4522028,114,14.75
1663265840.672263,115,18.0
1663265840.9226959,116,22.25
1663265841.159769,117,15.5
1663265841.3835769,118,8.0
1663265841.6093826,119,9.25
1663265841.8351145,120,22.0
1663265842.054341,121,9.25
1663265842.274186,122,17.5
1663265842.5244324,123,18.5
1663265842.7706702,124,37.0
1663265843.0149422,125,8.75
1663265843.2419631,126,9.75
1663265843.4762793,127,17.25
1663265843.7166457,128,19.0
1663265843.9469204,129,22.25
1663265844.1873755,130,24.5
1663265844.4180527,131,20.0
1663265844.6546614,132,15.25
1663265844.8883924,133,17.0
1663265845.1196105,134,18.75
1663265845.3527215,135,16.5
1663265845.5975578,136,17.25
1663265845.816722,137,12.75
1663265846.0396419,138,13.5
1663265846.2591393,139,27.0
1663265846.4778056,140,13.5
1663265846.7960086,141,27.0
1663265847.1777883,142,13.25
1663265847.5514522,143,10.0
1663265847.9080985,144,10.0
1663265848.2515042,145,8.5
1663265848.614646,146,36.75
1663265848.9935126,147,9.75
1663265849.3526587,148,17.75
1663265849.7252722,149,12.25
1663265850.0996454,150,25.75
1663265857.2151353,151,18.75
1663265857.4419036,152,14.5
1663265857.6675644,153,11.25
1663265857.9168332,154,18.5
1663265858.1432822,155,21.25
1663265858.3535523,156,24.5
1663265858.5775127,157,17.5
1663265858.805421,158,14.0
1663265859.04127,159,6.5
1663265859.2755797,160,15.25
1663265859.507858,161,18.0
1663265859.7448683,162,18.75
1663265859.974439,163,14.5
1663265860.2152617,164,18.25
1663265860.4525347,165,9.25
1663265860.6846032,166,16.0
1663265860.9261246,167,16.75
1663265861.1627078,168,11.0
1663265861.385104,169,16.0
1663265861.610498,170,10.25
1663265861.8455727,171,17.75
1663265862.0738618,172,9.75
1663265862.3028347,173,16.0
1663265862.5273852,174,14.0
1663265862.7745135,175,23.25
1663265863.011036,176,21.25
1663265863.2337666,177,6.25
1663265863.4699664,178,16.25
1663265863.6972024,179,21.5
1663265863.9211502,180,22.5
1663265864.155014,181,15.0
1663265864.37646,182,13.25
1663265864.603168,183,22.0
1663265864.8461342,184,17.75
1663265865.0791242,185,8.0
1663265865.2992558,186,10.0
1663265865.5276103,187,10.0
1663265865.7458594,188,12.25
1663265865.9674659,189,8.25
1663265866.2042997,190,15.0
1663265866.4291701,191,22.5
1663265866.650329,192,20.0
1663265866.880367,193,18.0
1663265867.1139185,194,21.75
1663265867.3277566,195,14.75
1663265867.560461,196,9.5
1663265867.791769,197,9.25
1663265868.0265985,198,9.5
1663265868.2486556,199,15.25
1663265868.479873,200,13.5
1663265875.5809593,201,22.75
1663265875.8197148,202,28.75
1663265876.0488567,203,10.75
1663265876.2917068,204,14.5
1663265876.52485,205,19.0
1663265876.7646322,206,15.25
1663265876.996805,207,14.0
1663265877.2418609,208,14.5
1663265877.461888,209,10.5
1663265877.700535,210,16.25
1663265877.9335155,211,9.0
1663265878.1862097,212,14.5
1663265878.4191704,213,21.25
1663265878.6484752,214,11.75
