Wall time,Step,Value
1663265990.5267015,1,14.75
1663265990.7810647,2,9.75
1663265991.0149882,3,11.5
1663265991.244603,4,10.0
1663265991.4915853,5,15.0
1663265991.7207344,6,10.25
1663265991.9592116,7,14.5
1663265992.1881213,8,8.25
1663265992.4336574,9,11.5
1663265992.6758387,10,19.0
1663265992.9197533,11,26.5
1663265993.1411831,12,8.5
1663265993.384646,13,18.0
1663265993.5943975,14,13.25
1663265993.8366396,15,11.5
1663265994.087557,16,17.25
1663265994.3099203,17,15.5
1663265994.5366552,18,17.0
1663265994.7678802,19,16.0
1663265995.0007927,20,13.5
1663265995.2183616,21,9.75
1663265995.4498043,22,6.0
1663265995.698525,23,14.25
1663265995.9252238,24,12.0
1663265996.161798,25,12.25
1663265996.389725,26,9.0
1663265996.6190357,27,11.0
1663265996.8555295,28,8.0
1663265997.1108735,29,12.75
1663265997.3495035,30,9.5
1663265997.5876732,31,22.5
1663265997.8052645,32,5.75
1663265998.036405,33,5.0
1663265998.2617018,34,12.0
1663265998.514272,35,20.5
1663265998.7538862,36,16.5
1663265998.9726453,37,5.75
1663265999.2129147,38,10.75
1663265999.4452844,39,18.25
1663265999.6878338,40,20.25
1663265999.9457023,41,10.0
1663266000.175201,42,16.75
1663266000.4154673,43,17.25
1663266000.6628666,44,8.0
1663266000.8944664,45,11.75
1663266001.1367493,46,21.25
1663266001.3635468,47,17.0
1663266001.6060677,48,12.5
1663266001.8323715,49,11.75
1663266002.0588956,50,10.75
1663266012.2996593,51,8.75
1663266012.5239563,52,9.25
1663266012.7747042,53,16.25
1663266013.0291657,54,20.75
1663266013.2753685,55,9.5
1663266013.5196047,56,18.25
1663266013.7587612,57,11.75
1663266013.9999368,58,5.5
1663266014.2595084,59,13.25
1663266014.517148,60,7.25
1663266014.7721891,61,16.5
1663266015.0338514,62,18.0
1663266015.2729828,63,12.0
1663266015.509355,64,13.75
1663266015.744913,65,12.75
1663266015.9921198,66,14.75
1663266016.2411623,67,25.75
1663266016.472422,68,16.0
1663266016.713103,69,15.25
1663266016.969916,70,13.5
1663266017.2130523,71,16.75
1663266017.4418023,72,8.75
1663266017.6804004,73,13.5
1663266017.9401522,74,19.0
1663266018.1967614,75,17.5
1663266018.4332414,76,5.25
1663266018.6822963,77,11.0
1663266018.9285345,78,13.75
1663266019.1616461,79,14.5
1663266019.411488,80,23.5
1663266019.6571453,81,14.5
1663266019.915341,82,16.5
1663266020.1385286,83,12.75
1663266020.3795707,84,12.75
1663266020.6305194,85,10.5
1663266020.8583815,86,8.0
1663266021.10032,87,11.5
1663266021.3338847,88,9.25
1663266021.5673456,89,13.25
1663266021.8122928,90,16.25
1663266022.061735,91,20.5
1663266022.3122337,92,7.0
1663266022.5639718,93,20.5
1663266022.7973752,94,14.5
1663266023.0514703,95,19.5
1663266023.3002653,96,19.5
1663266023.5329323,97,10.0
1663266023.768502,98,10.0
1663266024.0068297,99,9.5
1663266024.267696,100,10.75
1663266031.6307719,101,6.5
1663266031.8745608,102,19.0
1663266032.1452162,103,19.25
1663266032.3800306,104,17.25
1663266032.6244416,105,12.25
1663266032.890996,106,16.0
1663266033.132568,107,10.25
1663266033.379885,108,20.5
1663266033.60671,109,11.0
1663266033.8472185,110,18.5
1663266034.0972059,111,12.75
1663266034.3611777,112,13.25
1663266034.6143472,113,12.5
1663266034.8779216,114,18.5
1663266035.1131577,115,14.0
1663266035.3953536,116,6.25
1663266035.6349971,117,13.25
1663266035.8832903,118,3.75
1663266036.1211164,119,18.5
1663266036.3824804,120,11.0
1663266036.6221561,121,17.0
1663266036.8681507,122,10.75
1663266037.1087046,123,10.25
1663266037.377382,124,11.5
1663266037.6126566,125,9.5
1663266037.8592765,126,17.75
1663266038.0958176,127,11.0
1663266038.3475115,128,11.5
1663266038.5831218,129,19.5
1663266038.8428948,130,23.75
1663266039.105055,131,20.5
1663266039.3738918,132,10.5
1663266039.623523,133,16.5
1663266039.8535073,134,9.25
1663266040.0929005,135,8.5
1663266040.3452365,136,9.5
1663266040.5885184,137,11.5
1663266040.8535385,138,20.0
1663266041.1073515,139,20.25
1663266041.3502328,140,14.0
1663266041.600032,141,12.25
1663266041.856609,142,11.0
1663266042.0971284,143,19.25
1663266042.3638198,144,19.5
1663266042.621274,145,10.75
1663266042.8724253,146,14.0
1663266043.1209214,147,10.5
1663266043.3728101,148,10.25
1663266043.6018326,149,15.0
1663266043.8719275,150,18.0
1663266052.0888526,151,8.5
1663266052.5149505,152,8.25
1663266052.81367,153,6.75
1663266053.0740495,154,9.0
1663266053.3779473,155,7.25
1663266053.6550725,156,10.75
1663266053.9330077,157,12.75
1663266054.1966028,158,20.25
1663266054.4719417,159,16.75
1663266054.738603,160,32.5
1663266055.010419,161,15.25
1663266055.2744246,162,16.5
1663266055.531545,163,9.5
1663266055.7870378,164,14.5
1663266056.0648496,165,11.0
1663266056.3151612,166,12.5
1663266056.710828,167,13.75
1663266057.0087392,168,11.0
1663266057.2935178,169,9.25
1663266057.5392509,170,19.25
1663266057.808653,171,9.0
1663266058.0536695,172,7.25
1663266058.30956,173,14.75
1663266058.591074,174,3.75
1663266058.878612,175,15.0
1663266059.1518824,176,18.5
1663266059.4258668,177,17.0
1663266059.6910248,178,15.5
1663266060.0419714,179,22.0
1663266060.3644342,180,15.75
1663266060.6085975,181,14.25
1663266060.8962004,182,9.75
